numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229404,307,"11/02/08 00:00:00",,"5","50","crue le 02/11/2008 max codeur 2.513 m à 01:40  (controle laisses les plus hautes 2.30m donc capteur = logique)",,"01/09/09 15:14:00","01/09/09 09:20:00"
229405,307,"05/12/09 10:00:00",,"3","30","CRISTALISATION de la station + Alfee remplacé par LPN 8  +  ajout de l'échelle 1 à 2 m  + pose clous h = 5.5 m",,"05/22/09 09:13:00","05/22/09 09:13:00"
229406,307,"07/27/10 09:00:00",,"3","32","Remplacement prise de pression + remplacement echelle etiage + ajout echelle de crue jusqu'a 3 M",,"07/30/10 14:01:00","07/30/10 14:01:00"
229407,307,"02/02/12 00:00:00","02/23/12 18:30:00","4","42","Reconstitution des hauteurs suite au gel du mois de février 2012",,"09/07/12 14:13:00","03/09/12 14:26:00"
229408,307,"07/11/12 10:20:00",,"3","31","Doublement du LPN par une sonde piézo ( les donnees de la sonde piezo remplace celle du LPN depuis le 20/08 à 14h50 )",,"01/07/13 09:29:00","07/31/12 16:17:00"
229409,307,"01/17/13 02:00:00","01/19/13 00:30:00","4","42","Reconstitution des hauteurs suite au gel ",,"03/11/13 16:18:00","03/11/13 16:18:00"
229410,307,"02/14/13 00:00:00","02/14/13 12:00:00","4","42","Reconstitution des hauteurs suite au gel ",,"03/11/13 16:20:00","03/11/13 16:20:00"
229411,307,"02/23/13 03:30:00","02/27/13 05:25:00","4","42","Reconstitution des hauteurs suite au gel ",,"03/11/13 16:21:00","03/11/13 16:21:00"
229412,307,"02/27/13 11:00:00",,"2","26","Détarage au niveau du controle aval situé dans le champ vraisemblablement suite au gel ",,"03/15/13 16:13:00","03/15/13 16:13:00"
229413,308,"10/01/07 00:00:00",,"5","50","A partir de octobre 2007 gestion de la station par la DIREN CENTRE
station jusque là gérée par la DIREN AUVERGNE",,"01/09/09 15:30:00","01/09/09 15:30:00"
229414,308,"10/01/07 00:00:00",,"2","26","nouvelle courbe de tarage suite changement de gestionnaire",,"01/09/09 15:31:00","01/09/09 15:31:00"
